exact_original_filename,repository_relative_source_path,backend_semantic_family,verified_design_kit_family,proposed_functional_subfolder,catalog_path,phase1_scope_status,current_design_status,figma_frame,preview_reference,template_id_or_lookup_key
activate_email.template,email/templates/activate_email.template,Auth/Simple,TRANSACTIONAL,Account-Activation,Phase-1/01-Transactional/Account-Activation/activate_email.template,IN_SCOPE,DESIGNED,4:2,emails/activate_email.html,activateEmailTemplate
password_reset.template,email/templates/password_reset.template,Auth/Simple,TRANSACTIONAL,Password-Reset,Phase-1/01-Transactional/Password-Reset/password_reset.template,IN_SCOPE,UNDESIGNED,,,passwordResetTemplate
festival_donation.template,email/templates/festival_donation.template,Financial/Receipt,COMMERCE,Donations,Phase-1/02-Commerce/Donations/festival_donation.template,IN_SCOPE,DESIGNED,21:2,emails/festival_donation.html,donationTemplate
festival_ticket_sale.template,email/templates/festival_ticket_sale.template,Financial/Receipt,COMMERCE,Ticket-Sales,Phase-1/02-Commerce/Ticket-Sales/festival_ticket_sale.template,IN_SCOPE,DESIGNED,21:53,emails/festival_ticket_sale.html,festivalTicketSaleTemplate
festival_add_on_sale.template,email/templates/festival_add_on_sale.template,Financial/Receipt,COMMERCE,Ticket-Sales,Phase-1/02-Commerce/Ticket-Sales/festival_add_on_sale.template,IN_SCOPE,UNDESIGNED,,,festivalAddOnSaleTemplate
festival_activity_sale.template,email/templates/festival_activity_sale.template,Financial/Receipt,COMMERCE,Ticket-Sales,Phase-1/02-Commerce/Ticket-Sales/festival_activity_sale.template,IN_SCOPE,UNDESIGNED,,,activitySaleTemplate
festival_sponsor_sale.template,email/templates/festival_sponsor_sale.template,Financial/Receipt,COMMERCE,Sponsor-Sales,Phase-1/02-Commerce/Sponsor-Sales/festival_sponsor_sale.template,IN_SCOPE,UNDESIGNED,,,SponsorSaleTemplate
festival_sales.template,email/templates/festival_sales.template,Financial/Receipt,COMMERCE,Booth-Vendor-Sales,Phase-1/02-Commerce/Booth-Vendor-Sales/festival_sales.template,IN_SCOPE,UNDESIGNED,,,FestivalSalesTemplate
festival_vendor_sale.template,email/templates/festival_vendor_sale.template,Financial/Receipt,COMMERCE,Booth-Vendor-Sales,Phase-1/02-Commerce/Booth-Vendor-Sales/festival_vendor_sale.template,IN_SCOPE,UNDESIGNED,,,festivalVendorSaleTemplate
festival_sale_installment_paid.template,email/templates/festival_sale_installment_paid.template,Financial/Receipt,COMMERCE,Installments,Phase-1/02-Commerce/Installments/festival_sale_installment_paid.template,IN_SCOPE,UNDESIGNED,,,festivalSaleInstallmentPaidTemplate
second_payment_reminder.template,email/templates/second_payment_reminder.template,Financial/Receipt,COMMERCE,Installments,Phase-1/02-Commerce/Installments/second_payment_reminder.template,IN_SCOPE,UNDESIGNED,,,festivalSecondPaymentReminderTemplate
