exact_original_filename,repository_relative_source_path,template_id_or_lookup_key,backend_send_functions_and_call_sites,trigger_or_business_event,recipient_type,locale_selection_and_fallback,template_variables_and_producers,header_footer_partial_dependencies,attachments_qr_wallet_calendar_special,phase1_scope_status,verified_design_kit_family,backend_semantic_family,proposed_functional_subfolder,figma_frame,preview_reference,replacement_strategy,current_design_status,current_production_deployment_status,source_evidence
activate_email.template,email/templates/activate_email.template,activateEmailTemplate,SendActivateEmail | callers: api/v1/user.go (registration/resend),User account activation,End user,ProfileLanguage → GetValidProfileLanguage; BuildActivateEmailLocales; en–fa,ActivateURL; UserName; localized copy keys,None (inline shell),None,IN_SCOPE,TRANSACTIONAL,Auth/Simple,Account-Activation,4:2,emails/activate_email.html,Preserve filename/path; swap HTML body in place,DESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:129; smtp_user_emails.go; localization audit #1
password_reset.template,email/templates/password_reset.template,passwordResetTemplate,SendPasswordReset | callers: api/v1/user.go (forgot password),Password reset request,End user,ProfileLanguage; BuildPasswordResetEmailLocales; en–fa,ResetCode/URL; UserName; localized copy,None (inline shell),None,IN_SCOPE,TRANSACTIONAL,Auth/Simple,Password-Reset,,,Preserve filename/path; swap HTML body in place,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:126; smtp_user_emails.go; localization audit #2
festival_donation.template,email/templates/festival_donation.template,donationTemplate,SendUserDonationReceipt; SendAdminDonation; SendOrganizerDonation | callers: api/v1/festival_donation.go,Festival donation completed,User; Organizer; Admin,User/org ProfileLanguage; admin forced EN,Donation amounts; festival; invoice meta; HTMLDir,header_2_localized; footer_branded_both_dirs,None,IN_SCOPE,COMMERCE,Financial/Receipt,Donations,21:2,emails/festival_donation.html,Preserve filename/path; multi-recipient shared template,DESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:155; smtp_user/organizer/admin; audit #3
festival_ticket_sale.template,email/templates/festival_ticket_sale.template,festivalTicketSaleTemplate,SendFestivalTicketSaleToBuyerUser; SendFestivalTicketToGuestUser; SendFestivalTicketSaleToOrganizer; SendFestivalTicketSaleToAdmin (API callers commented) | callers: api/v1/festival_tickets.go; festival_ticket_registration.go,Ticket purchase / guest ticket,"Buyer; Guest; Organizer; Admin (send impl exists, API call commented)",Buyer/guest/org ProfileLanguage; admin forced EN,Tickets[]; QRCode; Wallet links; Calendar links; FestivalICSData; totals,header_4_localized; contact_container_both_dirs; footer_with_icons_both_dirs,QR image URLs; Google/Apple Wallet links; Google/Yahoo/Apple calendar links; FestivalICSData in HTML params (smtp.SendMail single HTML body — no MIME file attachments observed),IN_SCOPE,COMMERCE,Financial/Receipt,Ticket-Sales,21:53,emails/festival_ticket_sale.html,Preserve filename/path; keep QR/Wallet/Calendar params,DESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:158; smtp_user/organizer/admin; audit #4
festival_add_on_sale.template,email/templates/festival_add_on_sale.template,festivalAddOnSaleTemplate,SendFestivalAddOnSaleToUser; SendFestivalAddOnSaleToAdmin/Organizer (no live callers found) | callers: api/v1/festival_tickets.go; festival_add_on.go,Add-on purchase,User (admin/org Send* uncalled),User ProfileLanguage; admin EN if called,Add-on items; QR; calendar/ICS,header_4_localized; footer_branded_both_dirs,QR per item; calendar+ICS params,IN_SCOPE,COMMERCE,Financial/Receipt,Ticket-Sales,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:159; audit #5
festival_activity_sale.template,email/templates/festival_activity_sale.template,activitySaleTemplate,SendActivitySaleToUser; SendActivitySaleToAdmin; SendActivitySaleToOrganizer | callers: api/v1/festival_kids_activity.go,Kids/activity purchase,User; Admin; Organizer,User/org PL; admin EN,Activity items; calendar/ICS; waiver URLs,header_4_localized; contact_container_both_dirs; footer_with_icons_both_dirs,Calendar+ICS; waiver PDF URLs,IN_SCOPE,COMMERCE,Financial/Receipt,Ticket-Sales,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:166; audit #6
festival_sponsor_sale.template,email/templates/festival_sponsor_sale.template,SponsorSaleTemplate,SendSponsorSaleToSponsor; SendSponsorSaleToAdmin; SendSponsorSaleToOrganizer | callers: api/v1/festival_sponsor.go; order/terminator.go,Sponsor package purchase,Sponsor; Admin; Organizer,Sponsor/org PL; admin EN,Sponsor package lines; calendar/ICS; contract PDF link,header_2_localized; footer_branded_both_dirs,Calendar+ICS; contract link,IN_SCOPE,COMMERCE,Financial/Receipt,Sponsor-Sales,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:167; audit #7
festival_sales.template,email/templates/festival_sales.template,FestivalSalesTemplate,SendFestivalSaleToVendor; SendFestivalSaleToAdmin; SendFestivalSaleToOrganizer | callers: api/v1/festival_sale.go; order/terminator.go,Booth/vendor sale receipt,Vendor; Admin; Organizer,Vendor/org PL; admin EN,Sale lines; calendar/ICS,header_2_localized; footer_branded_both_dirs,Calendar+ICS,IN_SCOPE,COMMERCE,Financial/Receipt,Booth-Vendor-Sales,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:168; audit #8
festival_vendor_sale.template,email/templates/festival_vendor_sale.template,festivalVendorSaleTemplate,SendVendorSaleEmail; SendSaleReceivedEmail; SendVendorSaleEmailToVendor | callers: api/v1/festival_booth.go,Vendor marketplace order,Buyer; Vendor,Buyer or vendor PL (default en),Order lines; QRCodeImageLink,header_2_localized; footer_branded_both_dirs,QR on order,IN_SCOPE,COMMERCE,Financial/Receipt,Booth-Vendor-Sales,,,Preserve filename/path; shared by buyer+vendor workflows,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:164; audit #9
festival_sale_installment_paid.template,email/templates/festival_sale_installment_paid.template,festivalSaleInstallmentPaidTemplate,SendVendorPaidInstallment; SendAdminPaidInstallment; SendOrganizerPaidInstallment | callers: installments/installments.go; api/v1/festival_installments.go,Booth installment paid,Vendor; Admin; Organizer,Vendor/org PL; admin EN,Installment amount; booth context,header_3_both_dirs,None,IN_SCOPE,COMMERCE,Financial/Receipt,Installments,,,Preserve filename/path,UNDESIGNED,PRODUCTION_ACTIVE,smtp_render_template.go:146; audit #10
